[s],CH2[V]
-5.6440E-02,1.3345444333E-02
-5.6420E-02,1.6494906126E-02
-5.6400E-02,-6.7075135009E-03
-5.6380E-02,6.0808778029E-03
-5.6360E-02,-5.0440395699E-02
-5.6340E-02,-4.0905893527E-02
-5.6320E-02,-5.6027735183E-02
-5.6300E-02,-1.0180481831E-01
-5.6280E-02,-1.2674278217E-01
-5.6260E-02,-1.1131490642E-01
-5.6240E-02,-1.2980693779E-01
-5.6220E-02,-1.5914610868E-01
-5.6200E-02,-1.9400948582E-01
-5.6180E-02,-1.7839426075E-01
-5.6160E-02,-1.9535888731E-01
-5.6140E-02,-2.2789486993E-01
-5.6120E-02,-2.4500736370E-01
-5.6100E-02,-2.4500903263E-01
-5.6080E-02,-2.6171774069E-01
-5.6060E-02,-3.1546291590E-01
-5.6040E-02,-3.0292133551E-01
-5.6020E-02,-3.0791987646E-01
-5.6000E-02,-3.2861289282E-01
-5.5980E-02,-3.8718780863E-01
-5.5960E-02,-3.9461678861E-01
-5.5940E-02,-4.5179485763E-01
-5.5920E-02,-4.4798593003E-01
-5.5900E-02,-4.4882463892E-01
-5.5880E-02,-4.8493217959E-01
-5.5860E-02,-4.9009475253E-01
-5.5840E-02,-4.8495320811E-01
-5.5820E-02,-5.2331986022E-01
-5.5800E-02,-5.3064932429E-01
-5.5780E-02,-5.3005423150E-01
-5.5760E-02,-5.8259257953E-01
-5.5740E-02,-5.9045571975E-01
-5.5720E-02,-6.1046828948E-01
-5.5700E-02,-6.2668833481E-01
-5.5680E-02,-6.4554428831E-01
-5.5660E-02,-6.7463221370E-01
-5.5640E-02,-6.8355836702E-01
-5.5620E-02,-7.0536947116E-01
-5.5600E-02,-7.1505360484E-01
-5.5580E-02,-7.3608403117E-01
-5.5560E-02,-7.3628811748E-01
-5.5540E-02,-7.7256851162E-01
-5.5520E-02,-7.7763066265E-01
-5.5500E-02,-8.0259523402E-01
-5.5480E-02,-8.4507246091E-01
-5.5460E-02,-8.3344726619E-01
-5.5440E-02,-8.6588635550E-01
-5.5420E-02,-8.7928824550E-01
-5.5400E-02,-9.1163625890E-01
-5.5380E-02,-9.2154803464E-01
-5.5360E-02,-9.3194475377E-01
-5.5340E-02,-9.6766133565E-01
-5.5320E-02,-9.8477092071E-01
-5.5300E-02,-9.8797383595E-01
-5.5280E-02,-9.9458222686E-01
-5.5260E-02,-1.0059575589E+00
-5.5240E-02,-1.0618464033E+00
-5.5220E-02,-1.0533148804E+00
-5.5200E-02,-1.0755056900E+00
-5.5180E-02,-1.0872677847E+00
-5.5160E-02,-1.1255894233E+00
-5.5140E-02,-1.1232104827E+00
-5.5120E-02,-1.1312637379E+00
-5.5100E-02,-1.1523794227E+00
-5.5080E-02,-1.1676043089E+00
-5.5060E-02,-1.2305115288E+00
-5.5040E-02,-1.2083499016E+00
-5.5020E-02,-1.2372798986E+00
-5.5000E-02,-1.2709079336E+00
-5.4980E-02,-1.2698669504E+00
-5.4960E-02,-1.2707313132E+00
-5.4940E-02,-1.3128591615E+00
-5.4920E-02,-1.3143645841E+00
-5.4900E-02,-1.3491816126E+00
-5.4880E-02,-1.3592166031E+00
-5.4860E-02,-1.3841922848E+00
-5.4840E-02,-1.4124734970E+00
-5.4820E-02,-1.4242253874E+00
-5.4800E-02,-1.4431156255E+00
-5.4780E-02,-1.4856208904E+00
-5.4760E-02,-1.5183597672E+00
-5.4740E-02,-1.5206357587E+00
-5.4720E-02,-1.5334657779E+00
-5.4700E-02,-1.5831115363E+00
-5.4680E-02,-1.5965624929E+00
-5.4660E-02,-1.6380865223E+00
-5.4640E-02,-1.6432830460E+00
-5.4620E-02,-1.6773199690E+00
-5.4600E-02,-1.6865870609E+00
-5.4580E-02,-1.7144547599E+00
-5.4560E-02,-1.7577444220E+00
-5.4540E-02,-1.7682459023E+00
-5.4520E-02,-1.7923754364E+00
-5.4500E-02,-1.8211226616E+00
-5.4480E-02,-1.8341992533E+00
-5.4460E-02,-1.8766303700E+00
