[s],CH2[V]
-5.9980E-02,1.8254530820E+00
-5.9960E-02,1.8324843321E+00
-5.9940E-02,1.7895644096E+00
-5.9920E-02,1.7681288624E+00
-5.9900E-02,1.7752577688E+00
-5.9880E-02,1.7107069866E+00
-5.9860E-02,1.7035292521E+00
-5.9840E-02,1.6963515176E+00
-5.9820E-02,1.6676405797E+00
-5.9800E-02,1.6605605015E+00
-5.9780E-02,1.6532851107E+00
-5.9760E-02,1.6389784699E+00
-5.9740E-02,1.6174452664E+00
-5.9720E-02,1.5887831566E+00
-5.9700E-02,1.5816054222E+00
-5.9680E-02,1.5529433124E+00
-5.9660E-02,1.5672499532E+00
-5.9640E-02,1.4884413583E+00
-5.9620E-02,1.5242812025E+00
-5.9600E-02,1.4955214365E+00
-5.9580E-02,1.4884413583E+00
-5.9560E-02,1.4453261232E+00
-5.9540E-02,1.4525526859E+00
-5.9520E-02,1.4596327641E+00
-5.9500E-02,1.4023085445E+00
-5.9480E-02,1.3951308100E+00
-5.9460E-02,1.3665175283E+00
-5.9440E-02,1.3879042474E+00
-5.9420E-02,1.3306288559E+00
-5.9400E-02,1.3665175283E+00
-5.9380E-02,1.3378065904E+00
-5.9360E-02,1.3019667461E+00
-5.9340E-02,1.3234511214E+00
-5.9320E-02,1.3162245588E+00
-5.9300E-02,1.2661269018E+00
-5.9280E-02,1.2735487769E+00
-5.9260E-02,1.2662245581E+00
-5.9240E-02,1.2374159639E+00
-5.9220E-02,1.2373183076E+00
-5.9200E-02,1.2444960421E+00
-5.9180E-02,1.2231093231E+00
-5.9160E-02,1.1441542438E+00
-5.9140E-02,1.1729140098E+00
-5.9120E-02,1.1585097127E+00
-5.9100E-02,1.1370253374E+00
-5.9080E-02,1.0797987741E+00
-5.9060E-02,1.1154921340E+00
-5.9040E-02,1.0581190862E+00
-5.9020E-02,1.0724745552E+00
-5.9000E-02,1.0509413517E+00
-5.8980E-02,1.0079726011E+00
-5.8960E-02,1.0223280701E+00
-5.8940E-02,9.7213275682E-01
-5.8920E-02,9.6490619421E-01
-5.8900E-02,9.0030658388E-01
-5.8880E-02,9.1475970909E-01
-5.8860E-02,9.0035541200E-01
-5.8840E-02,8.8604877116E-01
-5.8820E-02,8.4298236427E-01
-5.8800E-02,8.6456439584E-01
-5.8780E-02,8.3585345792E-01
-5.8760E-02,8.3585345792E-01
-5.8740E-02,7.9278705102E-01
-5.8720E-02,7.9996478551E-01
-5.8700E-02,7.7135150383E-01
-5.8680E-02,7.4981830038E-01
-5.8660E-02,7.2828509694E-01
-5.8640E-02,7.2110736246E-01
-5.8620E-02,7.2110736246E-01
-5.8600E-02,7.1397845610E-01
-5.8580E-02,6.9952533089E-01
-5.8560E-02,6.8526751817E-01
-5.8540E-02,6.7110736171E-01
-5.8520E-02,6.7808978369E-01
-5.8500E-02,6.2076556409E-01
-5.8480E-02,6.1358782960E-01
-5.8460E-02,6.1353900148E-01
-5.8440E-02,5.9918353251E-01
-5.8420E-02,5.7057025084E-01
-5.8400E-02,5.7061907896E-01
-5.8380E-02,4.9166399966E-01
-5.8360E-02,5.0601946863E-01
-5.8340E-02,4.7022845247E-01
-5.8320E-02,4.3424212381E-01
