[s],CH1[V]
-5.9780E-02,6.6683725948E-03
-5.9760E-02,7.6419572930E-03
-5.9740E-02,8.2159943953E-03
-5.9720E-02,7.5652389589E-03
-5.9700E-02,6.0352114967E-03
-5.9680E-02,5.3716434453E-03
-5.9660E-02,6.6076745595E-03
-5.9640E-02,7.4172759049E-03
-5.9620E-02,7.0062279499E-03
-5.9600E-02,6.6432461364E-03
-5.9580E-02,6.3287238550E-03
-5.9560E-02,7.1431379181E-03
-5.9540E-02,7.5196876567E-03
-5.9520E-02,7.4288597105E-03
-5.9500E-02,6.5959820350E-03
-5.9480E-02,5.8928899034E-03
-5.9460E-02,6.9142303221E-03
-5.9440E-02,8.0458545976E-03
-5.9420E-02,7.4334573746E-03
-5.9400E-02,6.7798795390E-03
-5.9380E-02,7.5976443369E-03
-5.9360E-02,7.9339318514E-03
-5.9340E-02,8.3286052176E-03
-5.9320E-02,6.9253458736E-03
-5.9300E-02,5.3404163320E-03
-5.9280E-02,6.6245956037E-03
-5.9260E-02,7.1861138227E-03
-5.9240E-02,7.6280708406E-03
-5.9220E-02,6.5247473285E-03
-5.9200E-02,5.5105351489E-03
-5.9180E-02,6.0343031219E-03
-5.9160E-02,6.4943213017E-03
-5.9140E-02,6.9246282336E-03
-5.9120E-02,6.0109676639E-03
-5.9100E-02,5.2311595825E-03
-5.9080E-02,5.9328712705E-03
-5.9060E-02,6.7974900898E-03
-5.9040E-02,6.6681174869E-03
-5.9020E-02,5.9744977258E-03
-5.9000E-02,4.6570519083E-03
-5.8980E-02,5.4539550795E-03
-5.8960E-02,6.6007356248E-03
-5.8940E-02,6.5031170403E-03
-5.8920E-02,5.9024938810E-03
-5.8900E-02,4.9026035061E-03
-5.8880E-02,5.7369064479E-03
-5.8860E-02,7.1147689668E-03
-5.8840E-02,6.8260883997E-03
-5.8820E-02,5.9214801071E-03
-5.8800E-02,6.1626481407E-03
-5.8780E-02,6.6771058677E-03
-5.8760E-02,7.1236638876E-03
-5.8740E-02,5.7906498129E-03
-5.8720E-02,5.3745130515E-03
-5.8700E-02,6.6387662510E-03
-5.8680E-02,7.5044112240E-03
-5.8660E-02,7.5962114412E-03
-5.8640E-02,6.3057155074E-03
-5.8620E-02,5.6193975541E-03
-5.8600E-02,5.8423532684E-03
-5.8580E-02,6.3616513697E-03
-5.8560E-02,6.7995667157E-03
-5.8540E-02,5.3550685849E-03
-5.8520E-02,4.8207377147E-03
-5.8500E-02,5.6680392381E-03
-5.8480E-02,6.3428081948E-03
-5.8460E-02,6.1583580365E-03
-5.8440E-02,4.7909787831E-03
-5.8420E-02,3.8662422394E-03
-5.8400E-02,5.0842450934E-03
-5.8380E-02,6.3227042625E-03
-5.8360E-02,6.5945529540E-03
-5.8340E-02,6.4168948645E-03
-5.8320E-02,5.3653296442E-03
-5.8300E-02,6.7324084903E-03
-5.8280E-02,6.7391261725E-03
-5.8260E-02,6.4839701202E-03
-5.8240E-02,5.9330748799E-03
-5.8220E-02,5.0327695660E-03
-5.8200E-02,6.6311082459E-03
-5.8180E-02,8.0102348602E-03
-5.8160E-02,7.5236177488E-03
-5.8140E-02,5.9204210517E-03
-5.8120E-02,6.3868383864E-03
-5.8100E-02,6.5672025269E-03
-5.8080E-02,7.8037734208E-03
-5.8060E-02,7.1483650072E-03
-5.8040E-02,5.9715918801E-03
-5.8020E-02,6.4698452492E-03
-5.8000E-02,6.8451738078E-03
-5.7980E-02,7.0788860153E-03
-5.7960E-02,5.4840849905E-03
-5.7940E-02,5.1762861134E-03
-5.7920E-02,6.2620872895E-03
-5.7900E-02,6.4944395573E-03
-5.7880E-02,6.4779529118E-03
-5.7860E-02,5.9804138447E-03
-5.7840E-02,4.9980963504E-03
-5.7820E-02,6.1911606199E-03
-5.7800E-02,6.9720582743E-03
-5.7780E-02,6.0813636138E-03
-5.7760E-02,5.2265666867E-03
-5.7740E-02,4.5146001383E-03
-5.7720E-02,5.7354730754E-03
-5.7700E-02,6.5031337296E-03
-5.7680E-02,5.9816283490E-03
-5.7660E-02,5.0673345396E-03
-5.7640E-02,4.7427018795E-03
-5.7620E-02,5.6719168780E-03
-5.7600E-02,6.2616381089E-03
-5.7580E-02,5.3381623227E-03
-5.7560E-02,3.0971334305E-03
-5.7540E-02,4.0597241707E-03
-5.7520E-02,4.8798793534E-03
-5.7500E-02,5.8218530843E-03
-5.7480E-02,4.7811273269E-03
-5.7460E-02,2.9810307296E-03
-5.7440E-02,3.4594481488E-03
-5.7420E-02,2.9000742667E-03
-5.7400E-02,3.2112281702E-03
-5.7380E-02,7.2714821437E-04
-5.7360E-02,-1.0239085399E-03
-5.7340E-02,-1.3185881957E-03
