[s],CH1[V]
-5.9980E-02,7.4462956393E-03
-5.9960E-02,7.9628971888E-03
-5.9940E-02,8.5365299868E-03
-5.9920E-02,7.1878972083E-03
-5.9900E-02,7.0160222127E-03
-5.9880E-02,6.5855534735E-03
-5.9860E-02,5.6392644350E-03
-5.9840E-02,7.4175847025E-03
-5.9820E-02,7.5898503232E-03
-5.9800E-02,7.3890690782E-03
-5.9780E-02,7.9625065638E-03
-5.9760E-02,6.6720769089E-03
-5.9740E-02,6.2416081697E-03
-5.9720E-02,5.6103581857E-03
-5.9700E-02,4.8648503920E-03
-5.9680E-02,6.7003972206E-03
-5.9660E-02,6.4998112882E-03
-5.9640E-02,7.6757878210E-03
-5.9620E-02,8.5650456110E-03
-5.9600E-02,7.8189518799E-03
-5.9580E-02,7.5609440739E-03
-5.9560E-02,6.2705144190E-03
-5.9540E-02,5.4671941268E-03
-5.9520E-02,6.6718815964E-03
-5.9500E-02,6.3558659793E-03
-5.9480E-02,6.8154362802E-03
-5.9460E-02,8.2209049947E-03
-5.9440E-02,7.1019597105E-03
-5.9420E-02,6.4711003514E-03
-5.9400E-02,5.7828191188E-03
-5.9380E-02,4.7214910206E-03
-5.9360E-02,5.8685613042E-03
-5.9340E-02,5.5820378739E-03
-5.9320E-02,7.2169987701E-03
-5.9300E-02,8.3353581168E-03
-5.9280E-02,7.5322331371E-03
-5.9260E-02,7.5607487614E-03
-5.9240E-02,6.9298894023E-03
-5.9220E-02,6.0984441109E-03
-5.9200E-02,6.7294987824E-03
-5.9180E-02,6.4711003514E-03
-5.9160E-02,6.6716862839E-03
-5.9140E-02,7.1021550230E-03
-5.9120E-02,6.8724675288E-03
-5.9100E-02,7.2455143944E-03
-5.9080E-02,7.2451237694E-03
-5.9060E-02,6.4709050389E-03
-5.9040E-02,7.5611393864E-03
-5.9020E-02,7.4748112636E-03
-5.9000E-02,8.0773503109E-03
-5.8980E-02,8.4789128007E-03
-5.8960E-02,7.6470768842E-03
-5.8940E-02,8.3353581168E-03
-5.8920E-02,7.6472721967E-03
-5.8900E-02,7.0447331494E-03
-5.8880E-02,8.0199284373E-03
-5.8860E-02,7.9914128130E-03
-5.8840E-02,8.9955143502E-03
-5.8820E-02,9.4253971518E-03
-5.8800E-02,8.1345768719E-03
-5.8780E-02,8.0771549984E-03
-5.8760E-02,6.9877019009E-03
-5.8740E-02,6.2414128572E-03
-5.8720E-02,7.3316472047E-03
-5.8700E-02,7.9339909395E-03
-5.8680E-02,8.9953190377E-03
-5.8660E-02,9.4828190254E-03
-5.8640E-02,8.9089909148E-03
-5.8620E-02,8.6226627971E-03
-5.8600E-02,7.5324284496E-03
-5.8580E-02,6.7865300310E-03
-5.8560E-02,7.5896550107E-03
-5.8540E-02,7.5609440739E-03
-5.8520E-02,9.0812565355E-03
-5.8500E-02,1.0199811195E-02
-5.8480E-02,9.6839908953E-03
-5.8460E-02,9.5117252746E-03
-5.8440E-02,8.2207096822E-03
-5.8420E-02,7.0162175252E-03
-5.8400E-02,7.4748112636E-03
-5.8380E-02,7.1019597105E-03
-5.8360E-02,8.2209049947E-03
-5.8340E-02,9.1673893458E-03
-5.8320E-02,9.3966862150E-03
-5.8300E-02,9.7406315188E-03
-5.8280E-02,8.8519596663E-03
-5.8260E-02,7.8480534417E-03
-5.8240E-02,7.8767643784E-03
-5.8220E-02,7.0447331494E-03
-5.8200E-02,6.9586003391E-03
-5.8180E-02,7.0158269002E-03
-5.8160E-02,6.8441472170E-03
-5.8140E-02,6.9877019009E-03
-5.8120E-02,6.4709050389E-03
-5.8100E-02,5.7824284938E-03
-5.8080E-02,6.7578190942E-03
-5.8060E-02,6.7003972206E-03
-5.8040E-02,6.8441472170E-03
-5.8020E-02,6.9298894023E-03
-5.8000E-02,6.0408269248E-03
-5.7980E-02,6.3275456676E-03
-5.7960E-02,5.5529363121E-03
-5.7940E-02,4.9509832023E-03
-5.7920E-02,5.3236394429E-03
-5.7900E-02,5.2377019451E-03
-5.7880E-02,5.9261784902E-03
-5.7860E-02,5.8972722409E-03
-5.7840E-02,4.4345769654E-03
-5.7820E-02,4.2337957205E-03
-5.7800E-02,2.6273504485E-03
-5.7780E-02,1.3365301686E-03
-5.7760E-02,1.7380926585E-03
-5.7740E-02,2.3404363933E-03
-5.7720E-02,3.5164129261E-03
-5.7700E-02,3.7457097953E-03
-5.7680E-02,2.3406317058E-03
-5.7660E-02,2.1113348366E-03
-5.7640E-02,3.3262394401E-04
-5.7620E-02,-7.8554009025E-04
-5.7600E-02,-1.1872978926E-03
-5.7580E-02,-1.2734307029E-03
-5.7560E-02,-6.9979790491E-04
-5.7540E-02,-1.2732353904E-03
-5.7520E-02,-2.3062431768E-03
-5.7500E-02,-2.6787041049E-03
-5.7480E-02,-4.0843681319E-03
-5.7460E-02,-5.2033134161E-03
-5.7440E-02,-5.3462821625E-03
-5.7420E-02,-6.0351493326E-03
-5.7400E-02,-6.6660086917E-03
-5.7380E-02,-6.6945243160E-03
-5.7360E-02,-8.0714774062E-03
-5.7340E-02,-9.0753836308E-03
-5.7320E-02,-1.0509563282E-02
-5.7300E-02,-1.2718156976E-02
-5.7280E-02,-1.3808000699E-02
-5.7260E-02,-1.5787492836E-02
-5.7240E-02,-1.6820109998E-02
-5.7220E-02,-1.7766399036E-02
-5.7200E-02,-1.9344133371E-02
-5.7180E-02,-2.0606242715E-02
-5.7160E-02,-2.2441789543E-02
-5.7140E-02,-2.4248625435E-02
