133	510.38	20648.41
143	511.39	21416.18
152	512.31	22169.79
160	513.12	22594.84
170	514.13	24173.08
184	515.55	24918.55
196	516.75	25676.84
209	518.06	26152.24
222	519.36	27342.04
237	520.86	28514.82
253	522.45	28514.05
269	524.03	30137.56
284	525.52	31489.45
302	527.29	32406.11
319	528.95	33866.39
339	530.91	36006.51
360	532.95	36370.75
380	534.88	37365.01
400	536.81	38085.24
424	539.11	37937.6
447	541.3	37900.81
470	543.48	38449.93
494	545.74	39060.83
520	548.18	40202.94
548	550.78	41168.45
576	553.37	43897.22
607	556.22	43105.28
636	558.86	43389.86
669	561.84	44442.49
700	564.62	44223.88
