Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

39,5	20,81686645	3,77167	0,041514	1174,70753774	1,05473061183
40	21,078212989	3,79365	0,047619	1188,7884916	1,04223754584
40,5	21,665040187	3,8315	0,034188	1220,31528529	1,015311383
41	21,926386726	3,84005	0,040293	1234,31490307	1,00379570636
41,5	22,448545353	4,09035	0,019536	1262,20830789	0,981612933664
42	22,709357441	4,32234	0,030525	1276,10162186	0,970925809333
42,5	23,231516068	4,64957	0,028083	1303,83696972	0,950272180319
43	23,492328156	4,7265	0,040293	1317,65004053	0,940310372171
43,5	23,753674695	4,76679	0,034188	1331,46402968	0,930554616856
44	24,341036344	4,59096	0,032967	1362,40866612	0,909418760182
44,5	24,53664541	4,52869	0,018315	1372,68253863	0,902612195561
45	25,124007059	4,45177	0,025641	1403,43559822	0,882833527646
45,5	25,384819147	4,53114	0,02442	1417,0440941	0,874355290114
46	25,906977774	4,56288	0,040293	1444,20045176	0,857914147924
46,5	26,167789862	4,6337	0,031746	1457,71995508	0,849957494021
47	26,429136401	4,56899	0,0525031	1471,23686387	0,842148555699
47,5	26,951295028	4,57387	0,00854701	1498,15108498	0,827019392386
48	27,277310138	4,52747	0,042735	1514,89230156	0,817879923689
48,5	27,799468765	4,46398	0,014652	1541,60328056	0,80370872041
49	28,060280853	4,38706	0,0549451	1554,89729068	0,79683719782
49,5	28,58243948	4,37363	0,015873	1581,41545498	0,783475332872
50	28,843251568	4,26862	0,0610501	1594,61191716	0,776991559306
50,5	29,365410195	4,1685	0,00976801	1620,93231475	0,76437491481
51	29,626756734	4,09524	0,043956	1634,05556699	0,758236148776
51,5	30,14838091	3,95849	0,015873	1660,14648046	0,746319685993
52	30,474930471	3,88645	0,02442	1676,41013771	0,739079281453
52,5	30,866683054	3,73626	0,032967	1695,84930717	0,730607368687
53	31,257901186	3,67033	0,040293	1715,18283911	0,722371966268
53,5	31,519247725	3,53114	0,037851	1728,05377508	0,716991576226
54	32,040871901	3,42125	0,00732601	1753,63524605	0,706532332075
54,5	32,30221844	3,28327	0,035409	1766,39767003	0,701427555654
55	32,889580089	3,16361	0,01221	1794,94598378	0,690271468442
55,5	33,085189155	3,0232	0,0708181	1804,41170661	0,686650388856
