Vernier Format 2
Ge_Messung.cmbl 06.10.2014 12:49:07 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

39,5	23,035907002	0,00610501	0,0610501	1293,45942122	0,957896304802
40	23,492328156	0,00610501	0,035409	1317,65004053	0,940310372171
40,5	23,753674695	0,00610501	0,0708181	1331,46402968	0,930554616856
41	24,275298871	0,00610501	0,0598291	1358,95240028	0,91173171315
41,5	24,53664541	0,00610501	0,042735	1372,68253863	0,902612195561
42	25,124007059	0,00610501	0,0757021	1403,43559822	0,882833527646
42,5	25,384819147	0,00488401	0,041514	1417,0440941	0,874355290114
43	25,906977774	0,00610501	0,0671551	1444,20045176	0,857914147924
43,5	26,167789862	0,00610501	0,0549451	1457,71995508	0,849957494021
44	26,624745467	0,00610501	0,0659341	1481,33379994	0,836408377402
44,5	26,951295028	0,00610501	0,100122	1498,15108498	0,827019392386
45	27,277310138	0,00732601	0,0940171	1514,89230156	0,817879923689
45,5	27,799468765	0,00610501	0,200244	1541,60328056	0,80370872041
46	28,060280853	0,00610501	0,313797	1554,89729068	0,79683719782
46,5	28,58243948	0,00610501	0,496947	1581,41545498	0,783475332872
47	28,908989041	0,00610501	0,67033	1597,93287173	0,775376752001
47,5	29,365410195	0,013431	0,765568	1620,93231475	0,76437491481
48	29,626756734	0,025641	0,848596	1634,05556699	0,758236148776
48,5	30,14838091	0,0891331	0,819292	1660,14648046	0,746319685993
49	30,474930471	0,194139	0,838828	1676,41013771	0,739079281453
49,5	30,997089098	0,252747	0,776557	1702,30264728	0,727837674445
50	31,257901186	0,360195	0,7558	1715,18283911	0,722371966268
50,5	31,780059813	0,421245	0,715507	1740,86254672	0,711716156072
51	32,040871901	0,592186	0,615385	1753,63524605	0,706532332075
51,5	32,563030528	0,671551	0,566545	1779,09735624	0,696420572856
52	32,824377067	0,752137	0,457875	1791,78608826	0,691488793286
52,5	33,085189155	0,912088	0,351648	1804,41170661	0,686650388856
53	33,607347782	0,894994	0,288156	1829,57619472	0,677206012834
53,5	33,86815987	0,970696	0,188034	1842,08878606	0,672606016265
54	34,455521519	0,956044	0,177045	1870,12758865	0,662521641583
54,5	34,651130585	1,01954	0,10989	1879,42187254	0,659245280745
55	35,238492234	1,0525	0,0989011	1907,19804153	0,649644123485
55,5	35,499838773	1,00977	0,0757021	1919,49278895	0,645483018813
56	36,021462949	1,03663	0,023199	1943,91234288	0,637374418932
56,5	36,282809488	1,02076	0,045177	1956,08668157	0,633407512906
57	36,870171137	0,998779	0,013431	1983,29892315	0,624716720982
57,5	37,065780203	0,995116	0,00732601	1992,31529316	0,621889519321
58	37,653141852	0,921856	0,032967	2019,24906666	0,613594439862
58,5	37,848750918	0,921856	0,018315	2028,17185838	0,610894976617
59	38,436112567	0,92674	0,019536	2054,82213416	0,602971896888
59,5	38,697459106	0,85348	0,035409	2066,61092119	0,599532300587
60	39,15388026	0,835165	0,00976801	2087,09584623	0,593647868274
60,5	39,480429821	0,815629	0,02442	2101,67072245	0,589530979695
