Vernier Format 2
Si_Lampe.cmbl 06.10.2014 11:57:35 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

40	26,429136401	2,69963	0,010989	735,177149133	1,68530809406
40,5	26,689948489	3,26007	0,00854701	741,902487516	1,6700307936
41	27,212107116	3,55067	0,00976801	755,32060862	1,64036302712
41,5	27,472919204	3,69963	0,00854701	761,999379254	1,62598557654
42	27,734265743	3,76435	0,00732601	768,675997891	1,61186247964
42,5	28,255889919	3,8022	0,01221	781,953974684	1,5844922337
43	28,517236458	3,81563	0,00854701	788,582265643	1,57117406006
43,5	29,039395085	3,82418	0,00976801	801,776017966	1,54531935632
44	29,300207173	3,84737	0,00854701	808,34127298	1,53276844993
44,5	29,887568822	3,84982	0,00732601	823,065007702	1,50534889517
45	30,14838091	3,84249	0,010989	829,575295875	1,49353531399
45,5	30,670539537	3,84371	0,00976801	842,557421096	1,47052292102
46	30,931886076	3,84615	0,00976801	849,028917516	1,45931425236
46,5	31,453510252	3,84982	0,00854701	861,892494716	1,43753427208
47	31,714856791	3,85959	0,00732601	868,310667738	1,42690864691
47,5	32,040871901	3,86569	0,00976801	876,291637648	1,41391284222
48	32,497827506	3,89133	0,00976801	887,430269007	1,39616603498
48,5	32,758639594	3,86813	0,00976801	893,762499357	1,38627431884
49	33,280798221	3,88278	0,00854701	906,384150914	1,36697006314
49,5	33,607347782	3,89621	0,00732601	914,239334253	1,35522499807
50	34,128971958	3,89744	0,00976801	926,725346088	1,33696569888
50,5	34,390318497	3,88767	0,00854701	932,952327009	1,32804213477
51	34,6512909203	3,88034	0,010989	939,151024816	1,31927663098
51,5	35,1733426571	3,86813	0,00854701	951,492359002	1,30216494991
52	35,4343685255	3,86935	0,00732601	957,633467805	1,29381443073
52,5	35,9564202623	3,8486	0,00854701	969,855931547	1,27750932865
53	36,2827025978	3,85592	0,00976801	977,454148123	1,26757864027
53,5	36,8047543346	3,84249	0,00854701	989,545259893	1,25209027845
54	37,065780203	3,82418	0,00976801	995,560071508	1,24452560469
54,5	37,5878319398	3,83272	0,00732601	1007,52758202	1,22974300864
55	37,9141142753	3,8083	0,00854701	1014,9648633	1,22073191378
55,5	38,4361660121	3,78022	0,014652	1026,79595057	1,20666623132
56	38,6971918805	3,76435	0,00854701	1032,67958887	1,19979131315
56,5	39,0887306831	3,73016	0,00732601	1041,46482107	1,18967052456
57	39,4802694857	3,73626	0,00976801	1050,20141846	1,17977368743
57,5	39,7412953541	3,68987	0,00854701	1055,99859581	1,17329701471
58	40,328603558	3,6569	0,010989	1068,96192763	1,15906840831
58,5	40,5896294264	3,64347	0,00976801	1074,68743663	1,15289335092
59	40,981168229	3,60195	0,00732601	1083,23384113	1,14379735284
59,5	41,3074505645	3,5641	0,00854701	1090,31722016	1,1363665336
60	41,7642458342	3,53114	0,013431	1100,17449732	1,12618498522
60,5	42,1557846368	3,48962	0,00854701	1108,56795789	1,11765813831
61	42,4168105052	3,44811	0,00732601	1114,13486213	1,11207362961
61,5	42,938862242	3,40415	0,00976801	1125,1991842	1,1011383739
62	43,3956575117	3,35043	0,00854701	1134,80386921	1,09181862489
62,5	43,7219398472	3,2906	0,010989	1141,62023264	1,08529961591
63	44,1134786498	3,26984	0,010989	1149,75098007	1,07762465218
63,5	44,5050174524	3,23565	0,00732601	1157,82803589	1,07010709845
64	44,8312997879	3,20147	0,00732601	1164,51762912	1,06395984828
64,5	45,2880950576	3,16239	0,013431	1173,81956647	1,05552849466
65	45,6143773931	3,10501	0,00854701	1180,41816215	1,04962803838
65,5	46,1364291299	3,07204	0,00732601	1190,89620341	1,04039293807
66	46,3974549983	3,01832	0,00854701	1196,09820285	1,03586812274
66,5	46,6584808667	2,9939	0,00854701	1201,27537737	1,03140380911
67	47,1805326035	2,93529	0,010989	1211,55482234	1,02265285661
67,5	47,506814939	2,91087	0,00854701	1217,92845228	1,01730113759
68	47,9636102087	2,85348	0,00732601	1226,78513343	1,00995681007
68,5	48,2246360771	2,81075	0,00732601	1231,81112011	1,00583602451
69	48,7466878139	2,76801	0,01221	1241,78629124	0,997756223223
69,5	49,0077136823	2,72772	0,00976801	1246,73526867	0,993795580452
70	49,5297654191	2,67766	0,00732601	1256,55549368	0,986028875155
70,5	49,7907912875	2,64347	0,00976801	1261,42653743	0,982221289335
71	50,3128430243	2,59829	0,00976801	1271,08998197	0,97475396516
