Vernier Format 2
Si_Fehler_MaxTrans.cmbl 06.10.2014 12:07:11 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

44	-11,354411495	0,959707	0,141636	-325,191526938	-3,81006237052
44,5	-11,354411495	0,962149	0,139194	-325,191526938	-3,81006237052
45	-11,354411495	0,953602	0,137973	-325,191526938	-3,81006237052
45,5	-11,354411495	0,946276	0,135531	-325,191526938	-3,81006237052
46	-11,354411495	0,954823	0,129426	-325,191526938	-3,81006237052
46,5	-11,354411495	0,96337	0,139194	-325,191526938	-3,81006237052
47	-11,289208473	0,962149	0,139194	-323,348405517	-3,83178014446
47,5	-11,354411495	0,952381	0,135531	-325,191526938	-3,81006237052
48	-11,354411495	0,947497	0,131868	-325,191526938	-3,81006237052
48,5	-11,354411495	0,953602	0,133089	-325,191526938	-3,81006237052
49	-11,289208473	0,962149	0,142857	-323,348405517	-3,83178014446
49,5	-11,354411495	0,959707	0,137973	-325,191526938	-3,81006237052
50	-11,354411495	0,946276	0,131868	-325,191526938	-3,81006237052
50,5	-11,354411495	0,958486	0,135531	-325,191526938	-3,81006237052
51	-11,354411495	0,958486	0,135531	-325,191526938	-3,81006237052
51,5	-11,354411495	0,957265	0,141636	-325,191526938	-3,81006237052
52	-11,354411495	0,949939	0,133089	-325,191526938	-3,81006237052
52,5	-11,354411495	0,952381	0,133089	-325,191526938	-3,81006237052
53	-11,354411495	0,96337	0,136752	-325,191526938	-3,81006237052
53,5	-11,354411495	0,964591	0,136752	-325,191526938	-3,81006237052
54	-11,354411495	0,96337	0,140415	-325,191526938	-3,81006237052
54,5	-11,354411495	0,957265	0,133089	-325,191526938	-3,81006237052
55	-11,354411495	0,946276	0,131868	-325,191526938	-3,81006237052
55,5	-11,354411495	0,962149	0,135531	-325,191526938	-3,81006237052
56	-11,354411495	0,967033	0,136752	-325,191526938	-3,81006237052
56,5	-11,354411495	0,956044	0,141636	-325,191526938	-3,81006237052
57	-11,289208473	0,954823	0,133089	-323,348405517	-3,83178014446
57,5	-11,354411495	0,947497	0,131868	-325,191526938	-3,81006237052
58	-11,289208473	0,954823	0,135531	-323,348405517	-3,83178014446
58,5	-11,354411495	0,964591	0,135531	-325,191526938	-3,81006237052
59	-11,289208473	0,96337	0,141636	-323,348405517	-3,83178014446
59,5	-11,354411495	0,960928	0,140415	-325,191526938	-3,81006237052
60	-11,289208473	0,953602	0,13431	-323,348405517	-3,83178014446
60,5	-11,354411495	0,952381	0,13431	-325,191526938	-3,81006237052
61	-11,354411495	0,95116	0,130647	-325,191526938	-3,81006237052
61,5	-11,354411495	0,957265	0,133089	-325,191526938	-3,81006237052
62	-11,354411495	0,971917	0,137973	-325,191526938	-3,81006237052
62,5	-11,354411495	0,964591	0,139194	-325,191526938	-3,81006237052
63	-11,354411495	0,960928	0,140415	-325,191526938	-3,81006237052
63,5	-11,354411495	0,95116	0,137973	-325,191526938	-3,81006237052
64	-11,354411495	0,947497	0,131868	-325,191526938	-3,81006237052
64,5	-11,354411495	0,952381	0,133089	-325,191526938	-3,81006237052
65	-11,289208473	0,956044	0,131868	-323,348405517	-3,83178014446
65,5	-11,354411495	0,96337	0,13431	-325,191526938	-3,81006237052
66	-11,289208473	0,965812	0,141636	-323,348405517	-3,83178014446
66,5	-11,354411495	0,964591	0,137973	-325,191526938	-3,81006237052
67	-11,354411495	0,95116	0,137973	-325,191526938	-3,81006237052
67,5	-11,354411495	0,947497	0,133089	-325,191526938	-3,81006237052
68	-11,354411495	0,958486	0,131868	-325,191526938	-3,81006237052
68,5	-11,354411495	0,958486	0,139194	-325,191526938	-3,81006237052
69	-11,354411495	0,967033	0,137973	-325,191526938	-3,81006237052
69,5	-11,354411495	0,959707	0,140415	-325,191526938	-3,81006237052
70	-11,289208473	0,953602	0,136752	-323,348405517	-3,83178014446
70,5	-11,354411495	0,942613	0,133089	-325,191526938	-3,81006237052
71	-11,354411495	0,953602	0,13431	-325,191526938	-3,81006237052
71,5	-11,354411495	0,967033	0,13431	-325,191526938	-3,81006237052
72	-11,354411495	0,962149	0,141636	-325,191526938	-3,81006237052
72,5	-11,354411495	0,956044	0,139194	-325,191526938	-3,81006237052
73	-11,354411495	0,948718	0,130647	-325,191526938	-3,81006237052
73,5	-11,354411495	0,941392	0,13431	-325,191526938	-3,81006237052
74	-11,289208473	0,959707	0,133089	-323,348405517	-3,83178014446
74,5	-11,354411495	0,958486	0,135531	-325,191526938	-3,81006237052
75	-11,354411495	0,964591	0,142857	-325,191526938	-3,81006237052
75,5	-11,354411495	0,958486	0,135531	-325,191526938	-3,81006237052
76	-11,289208473	0,948718	0,136752	-323,348405517	-3,83178014446
76,5	-11,354411495	0,95116	0,131868	-325,191526938	-3,81006237052
77	-11,354411495	0,952381	0,129426	-325,191526938	-3,81006237052
77,5	-11,354411495	0,971917	0,136752	-325,191526938	-3,81006237052
78	-11,354411495	0,962149	0,136752	-325,191526938	-3,81006237052
78,5	-11,354411495	0,957265	0,137973	-325,191526938	-3,81006237052
79	-11,354411495	0,947497	0,135531	-325,191526938	-3,81006237052
79,5	-11,354411495	0,945055	0,128205	-325,191526938	-3,81006237052
80	-11,354411495	0,954823	0,136752	-325,191526938	-3,81006237052
80,5	-11,354411495	0,971917	0,137973	-325,191526938	-3,81006237052
81	-11,289208473	0,958486	0,137973	-323,348405517	-3,83178014446
