Vernier Format 2
Si_Messung.cmbl 06.10.2014 11:45:23 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

39,5	21,077678538	0,00732601	0,025641	594,02330406	2,08577675578
40	21,665040187	0,00732601	0,02442	609,791621262	2,0318416272
40,5	21,926386726	0,00732601	0,02442	616,787231109	2,00879644958
41	22,448010902	0,00732601	0,025641	630,711327287	1,96444862554
41,5	22,709357441	0,00732601	0,026862	637,668056996	1,94301719587
42	23,231516068	0,00732601	0,026862	651,527411986	1,90168514357
42,5	23,492328156	0,00610501	0,02442	658,429804295	1,88174956832
43	24,014486783	0,00732601	0,023199	672,207590109	1,84318061597
43,5	24,275298871	0,00732601	0,023199	679,068595942	1,82455794216
44	24,86266052	0,00610501	0,028083	694,468175515	1,78409903244
44,5	25,123472608	0,00610501	0,045177	701,282902885	1,76676202272
45	25,645631235	0,00732601	0,0732601	714,8825126	1,733151921
45,5	25,906977774	0,00610501	0,117216	721,667052378	1,71685820479
46	26,42860195	0,00732601	0,155067	735,163352014	1,68533972294
46,5	26,689948489	0,00610501	0,184371	741,902487516	1,6700307936
47	27,212107116	0,00732601	0,205128	755,32060862	1,64036302712
47,5	27,472919204	0,00610501	0,221001	761,999379254	1,62598557654
48	27,995077831	0,00732601	0,233211	775,323018998	1,59804361491
48,5	28,321092941	0,00610501	0,2442	783,609187275	1,58114532106
49	28,843251568	0,00732601	0,257631	796,827670661	1,55491588159
49,5	29,104598107	0,00732601	0,272283	803,41889456	1,54215939952
50	29,626222283	0,00610501	0,290598	816,524271729	1,51740743405
50,5	29,887568822	0,00732601	0,306471	823,065007702	1,50534889517
51	30,409727449	0,00732601	0,323565	836,08168226	1,48191262443
51,5	30,670539537	0,00732601	0,340659	842,557421096	1,47052292102
52	31,192698164	0,00610501	0,361416	855,469569182	1,44832738023
52,5	31,453510252	0,00610501	0,384615	861,892494716	1,43753427208
53	32,040871901	0,00610501	0,413919	876,291637648	1,41391284222
53,5	32,301683989	0,00610501	0,445665	882,655998684	1,40371787179
54	32,8240029513	0,00610501	0,482295	895,346552607	1,38382171282
54,5	33,0850288197	0,00610501	0,517705	901,660765264	1,37413098998
55	33,6070805565	0,00732601	0,559219	914,232918222	1,35523450896
55,5	33,8681064249	0,00610501	0,606838	920,490597589	1,34602135345
