Peak 1	235.189754892	0.0172514772238	78.0404297706	0.0350758373752
Peak 2	414.734378533	0.121834335049	151.389339239	0.0610683714838
Peak 3	620.090178545	0.111514573682	235.282823091	0.0602907532566
Peak 4	707.534246878	0.0340000310647	271.006126421	0.0442335562033
Peak 5	905.921647553	0.318753181925	352.052827775	0.139089627689
Peak 6	1046.99037263	0.0661001341083	409.683276042	0.0608227280247
Peak 7	1309.92727318	1.52464064727	517.100220776	0.626345723542
Peak 8	1491.0480786	0.501431706652	591.093043786	0.217958184058
Peak 9	2088.71336509	0.165997714556	835.255726591	0.124029914608
Peak 10	6354.1703284	0.780444613546	2577.81203544	0.457306684965
